ucid,capability,domain,use_case,definition,requirement,user_story,kpi,status
1,Knowledge Base,Knowledge,Document Ingestion,Pulls structured and unstructured documents from source systems into the,"1. Intake documents from all requisite sources (SharePoint, the CRM, etc).","Data protection: I want PII identified and tokenised before storage, so",Analyst hours per case; Time to approve Knowledge Base,On inventory
2,Knowledge Base,Knowledge,Document Generation,"Produces analyst reports, case summaries, risk briefs and onboarding kits from",1. Create documents from data across the knowledge base.,"Analyst: I want reports, case summaries and risk briefs generated from the",Analyst hours per case; Time to approve Knowledge Base,On inventory
3,Knowledge Base,Knowledge,User Interface,"Natural language query returning cited, grounded answers.","1. Afford manual, request-oriented data retrieval, generation and upload.",Risk analyst: I want to ask a question in plain language and get an answer that,Analyst hours per case; First contact resolution Knowledge Base,On inventory
4,Knowledge Base,Knowledge,Version Control,"Auditable version history, so the rule in effect at any past date is retrievable.",1. Maintain versioned instances of all knowledge base entities.,Risk analyst: I want to see the policy that was in effect at the time of a,Knowledge Base,On inventory
5,Knowledge Base,Knowledge,Case Management (Knowledge Graph),"Entities, relationships and historical decisions, linked for pattern detection.",1. Identify candidate entities for relational data mapping.,Curator: I want to maintain a classification or an entity link once and have it,Regrettable loss rate; False positive rate; Knowledge Base,On inventory
6,Knowledge Base,Knowledge,Merchant Classification Expansion,"Rule sets and schema beyond MCC, carrying our own activity and business",1. Utilise the internal classification model.,Curator: I want to maintain a classification or an entity link once and have it,Regrettable loss rate; False positive rate; Auto- Knowledge Base,On inventory
7,Knowledge Base,Knowledge,Automated Document Updating,"Detects policy, network rule and merchant change, and drafts the update for",1. Monitor relevant data for changes.,"Reviewer: I want a draft to approve when a policy or network rule changes,",Analyst hours per case; False positive rate Knowledge Base,On inventory
11,Knowledge Base,Knowledge,System of Record Data Enrichment,"Writes classifications, risk flags and signals back into the systems of record.","1. Support both cadenced and triggered enrichment (analyst request, new merchant creation, etc).",Operations lead: I want the knowledge base to write enriched fields back into,Analyst hours per case; First contact resolution Knowledge Base,On inventory
12,Boarding Merchant Analysis,Intake,Intermediary Analysis,"Partner, portfolio, group exposure and history before contact.","1. Profile partner legal entity, group structure and ultimate ownership.",Sales & relationship: I want a profile of a partner or intermediary before an,"Regrettable loss rate; Time to approve Onboarding, Partner &",On inventory
13,Boarding Merchant Analysis,Intake,Document Review,"Validates submitted financials and policies, and flags what is missing.","1. Ingest submitted documents (financials, processing statements).",Merchant with a gap: I want to fix or explain a shortfall before a decision is,Time to approve; Analyst hours per case; First Onboarding,On inventory
14,Boarding Merchant Analysis,Intake,Initial Merchant Classification Engine,"Infers MCC, activity classification and business model.",1. Infer classification at point of application from existing data.,"Risk analyst: I want to see how comparable merchants were decided, so my",Auto-approval rate; Regrettable loss rate; Onboarding,On inventory
15,Boarding Merchant Analysis,Intake,Risk Assessment,One scored artifact with a narrative recommendation.,"1. Combine existing relevant data (classification, financial, external) into a risk score.","Risk analyst: I want classification, risk indicators, open questions and a",Auto-approval rate; Regrettable loss rate; Onboarding,On inventory
16,Boarding Merchant Experience,Boarding,Automated Questionnaire,"A tailored question set from classification, not a static document.","1. Derive the question set from classification — vertical, segment, business model, region, product.","New merchant: I want to know up front exactly what is required of me, so I",First contact resolution; Time to approve; Onboarding,On inventory
17,Boarding Merchant Experience,Boarding,Onboarding Kit Generation,"The full package of documents, agreements and disclosures.",1. Automatically trigger kit creation at the appropriate point in the onboarding workflow.,New merchant: I want one package that tells me everything required of me,First contact resolution; Time to approve; Onboarding,On inventory
18,Boarding Merchant Experience,Boarding,SME Decision Enablement Engine,A pre-populated analyst brief with a recommendation.,1. Aggregate relevant internal and external merchant data.,"Risk analyst: I want classification, risk indicators, open questions and a",Analyst hours per case; Time to approve; Onboarding,On inventory
19,Boarding Merchant Experience,Boarding,Merchant Portal,"One interface to submit, upload, answer and track.",1. Authenticate access to the portal.,"New merchant: I want to know up front exactly what is required of me, so I",Customer satisfaction; First contact resolution; Onboarding,On inventory
20,Merchant Review,Post-Boarding,Review Cadence Scheduling,Sets review frequency per merchant and alerts on drift outside tolerance.,1. Determine and schedule the review frequency for each merchant from their profile.,"Analyst team lead: I want minor drift logged and material drift alerted, so my",Analyst hours per case; Regrettable loss rate Monitoring & Risk Surfacing,On inventory
22,Merchant Review,Post-Boarding,Intermediary Monitoring,"Online presence, app store activity and news, for business model drift.",1. Perform re-evaluation on cadenced schedules and on request.,"Partner manager: I want the intermediary itself monitored, not only its",Regrettable loss rate; False positive rate Partner & Intermediary,On inventory
23,Merchant Review,Post-Boarding,Merchant Classification Re-Evaluation,"Re-classifies from website, business model or transaction pattern change.","1. Periodically re-classify active merchants from changes to website content, business model or transaction",Risk analyst: I want classification re-evaluated when a merchant’s business,Regrettable loss rate; False positive rate; Monitoring & Risk Surfacing,On inventory
24,Merchant Review,Post-Boarding,Vertical Controls,Validates continued alignment to the business model and MCC underwritten.,"1. Continuously validate alignment to the business model, product offering and MCC underwritten.",Vertical specialist: I want the controls specific to my vertical applied,Regrettable loss rate; False positive rate Monitoring & Risk Surfacing,On inventory
25,Merchant Review,Post-Boarding,Automated Request for Information,"Generates, delivers and tracks outbound requests from predefined triggers.","1. Identify merchants requiring a request from predefined triggers (licence expiry, missing documents, policy","Merchant: I want one request, once a year, with everything in it — not five",First contact resolution; Analyst hours per Monitoring & Risk Surfacing,On inventory
26,Merchant Review,Post-Boarding,Reputational Negative News Monitoring,"Scans news, adverse media and public databases; scores by severity.",1. Support configuration of scan cadences.,Monitoring analyst: I want reputational and negative news surfaced against,Regrettable loss rate; False positive rate Monitoring & Risk Surfacing,On inventory
28,Merchant Review,Post-Boarding,Automated Alerting,Targeted analyst alerts when monitoring signals cross defined thresholds.,1. Generate targeted analyst alerts when monitoring signals cross defined thresholds.,"Analyst team lead: I want minor drift logged and material drift alerted, so my",False positive rate; Analyst hours per case; Monitoring & Risk Surfacing,On inventory
30,Risk Surfacing,Post-Boarding,Ad-hoc Review Triggering,Unscheduled review when a signal outside the cadence needs attention.,1. Allow an analyst or the system to initiate an unscheduled review of a specific merchant.,Fraud analyst: I want the investigation brief assembled the moment an,Regrettable loss rate; Analyst hours per case Monitoring & Risk Surfacing,On inventory
32,Risk Surfacing,Post-Boarding,Fraud Investigation,Assembles all evidence into a structured investigation brief on detection.,"1. Detect fraud indicators from transaction, graph or external signals.",Fraud analyst: I want the investigation brief assembled the moment an,Regrettable loss rate; Analyst hours per case; Monitoring & Risk Surfacing,On inventory
33,Risk Surfacing,Post-Boarding,Risk Pattern Identification,"Portfolio analytics for concentration, common ownership and correlated",1. Apply analytics across the active merchant base to identify systemic risk patterns.,Portfolio lead: I want the pattern that is spread across forty merchants. No,Regrettable loss rate; False positive rate Monitoring & Risk Surfacing,On inventory
34,Credit Risk Management,Credit,Credit Monitoring,"Tracks financial health indicators using internal credit scores, filed financials and","1. Track financial health indicators using internal credit scores, filed financials and market signals.",Monitoring analyst: I want to pull what can be pulled and ask only for what,Regrettable loss rate; False positive rate Credit & Reserve,On inventory
35,Risk Surfacing,Post-Boarding,Case Management Interaction,"The interface analysts live in: monitor, update, reassign, escalate, close.","1. Allow analysts to create, update and close risk cases from within the interface.",Risk analyst: I want to work a case end to end in one place with its full history,Analyst hours per case; First contact resolution Monitoring & Risk Surfacing,On inventory
37,Termination Management,Termination,Offboarding Risk Assessment,"Evaluates the full risk profile of a merchant being terminated, to inform the",1. Evaluate the full risk profile at the point termination is considered.,Offboarding analyst: I want the risk of exiting a merchant assessed before we,Regrettable loss rate; Analyst hours per case Termination,On inventory
38,Termination Management,Termination,Reinstatement Eligibility Check,Evaluates whether a terminated merchant meets defined criteria for future,1. Check terminated merchants against pre-defined eligibility parameters for reinstatement.,Sales lead: I want a clear eligibility answer on a previously terminated,Customer satisfaction; Regrettable loss rate Termination,On inventory
39,Termination Management,Termination,Automated Re-engagement Kit Generation,"Generates and delivers a re-engagement kit from what we already hold, asking",1. Maintain a modifiable template library of re-engagement kits.,Good merchant leaving: I want to know my file stays intact and coming back,Customer satisfaction; First contact resolution; Termination,On inventory
